Full Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sum_file_path,run_id,input_file_gen_date,scenario,parent_substance,crop_calendar,application_scheme,substance_evaluated,pec_gw,App_ID,Crop,Application Rate,Number of Applications,Interval,Application BBCH,Use BBCH for First or Last,AppDate Crop,Application Type,Injection/Incorporation Depth,Application Frequency
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M11,0.144412,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M52,0.020903,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M54,0.069902,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M55,0.837652,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M56,0.504825,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M2,0.196674,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M3,1.11338,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M11,0.129976,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M52,0.029145,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M54,0.066146,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M55,0.552621,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_1,M56,0.341555,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M2,0.099156,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M3,1.320702,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M11,0.142484,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M52,0.015331,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M54,0.070092,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M55,1.255514,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_1,M56,0.708305,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M2,0.104046,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M3,0.937074,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M11,0.152676,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M52,0.009722,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M54,0.074683,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M55,0.764923,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
